sorted_annotations,mappings
home activity;child/elderly/pet care;child care;5185 child care sitting/kneeling;MET 2.0,2
home activity;leisure;activities for maintenance of a household;miscellaneous;9101 retreat/family reunion activities playing games with more than one person;MET 3.0,2
home activity;leisure;activities for maintenance of a household;with children;5170 sitting playing with child(ren);MET 2.2,2
home activity;leisure;activties for maintenance of a household;5170 sitting playing with child(ren);MET 2.2,2
home activity;miscellaneous;sitting;11580 office work such as writing and typing (with or without eating at the same time);MET 1.5,2
home activity;miscellaneous;sitting;11580 office/computer work general;MET 1.5,2
home activity;miscellaneous;sitting;21010 sitting non-desk work (with or without eating at the same time);MET 2.5,2
home activity;miscellaneous;sitting;5080 sitting non-desk work (with or without eating at the same time);MET 1.3,2
home activity;miscellaneous;sitting;9030 sitting desk entertainment/hobby (with or without eating at the same time);MET 1.3,2
home activity;miscellaneous;standing;9020 standing writing/drawing/painting;MET 1.8,2
household-chores;sitstand+activity;social;MET 4.5,2
household-chores;sitstand+lowactivity;MET 1.3,2
household-chores;sitstand+lowactivity;MET 2.8,2
leisure;miscellaneous;21005 (generic) sitting light office writing typing work;MET 1.5,2
leisure;miscellaneous;21010 sitting non-desk work (with or without eating at the same time);MET 2.5,2
leisure;miscellaneous;sitting;21005 (generic) sitting light office writing typing work;MET 1.5,2
leisure;miscellaneous;sitting;5080 sitting non-desk work (with or without eating at the same time);MET 1.3,2
leisure;miscellaneous;standing;9020 standing writing/drawing/painting;MET 1.8,2
leisure;miscellaneous;walking;17133 walking upstairs;MET 4.0,2
mixed-activity;sitstand+activity;MET 2.0,2
occupation;interruption;11585 sitting meeting/talking to colleages with or without eating;MET 1.5,2
occupation;interruption;13030 eating sitting;MET 1.5,2
occupation;interruption;9020 standing writing/drawing/painting;MET 1.8,2
occupation;interruption;9055 sitting using a mobile phone/smartphone/tablet or talking on the phone/computer (skype meeting etc.);MET 1.5,2
occupation;interruption;9060 (generic) sitting without observable activities;MET 1.3,2
occupation;interruption;9060 sitting using a mobile phone/smartphone/tablet or talking on the phone/computer (skype meeting etc.);MET 1.3,2
occupation;interruption;miscellaneous;13009 toilet break;MET 1.8,2
occupation;interruption;sitting;13030 eating sitting;MET 1.5,2
occupation;interruption;sitting;9055 sitting using a mobile phone/smartphone/tablet or talking on the phone/computer (skype meeting etc.);MET 1.5,2
occupation;interruption;standing;13035 eating standing;MET 2.0,2
occupation;office and administrative support;11580 office wok/computer work general;MET 1.5,2
occupation;office and administrative support;11580 office work/computer work general;MET 1.5,2
occupation;office and administrative support;11580 office/computer work general;MET 1.5,2
occupation;office and administrative support;11600 (generic) standing tasks such as store clerk/librarian/packing boxes/repair heavy parts;MET 3.0,2
sitting;sitstand+lowactivity;screen;MET 1.0,2
